id,price_doc
30474,5259819.66432
30475,8651872.22338
30476,4976008.77767
30477,6570658.79501
30478,5053972.90638
30479,9826888.56804
30480,4513424.77961
30481,4229234.5336
30482,3708613.06948
30483,4839174.486
30484,6306204.91773
30485,5019585.12412
30486,3983087.24559
30487,4614693.60754
30488,6876743.3689
30489,5584412.60515
30490,23289074.8119
30491,15070588.4847
30492,6334028.46077
30493,15753300.4022
30494,7978851.1281
30495,10205378.2443
30496,7514611.53128
30497,7655610.36899
30498,4536430.2343
30499,5079302.09936
30500,11918567.1111
30501,6165030.10479
30502,3410934.61696
30503,5587633.28308
30504,5935210.81044
30505,10067418.9836
30506,2972953.23623
30507,5070988.51669
30508,5886357.12335
30509,8134265.26233
30510,9546795.75602
30511,6270764.60688
30512,6775270.34309
30513,4480942.6992
30514,3696656.19003
30515,10630411.825
30516,5988836.85089
30517,11227837.2599
30518,5783529.21496
30519,4245325.84753
30520,5923428.93335
30521,2278398.19769
30522,7749102.59438
30523,5046007.76651
30524,8102628.68804
30525,7618593.93604
30526,5390425.10778
30527,5067138.72058
30528,5172720.49373
30529,5820480.24179
30530,6731672.32789
30531,11659449.4652
30532,3578462.54256
30533,10997462.782
30534,7318898.89483
30535,9769417.55157
30536,5395174.72605
30537,10313154.915
30538,5061722.36045
30539,10289701.1131
30540,9870379.21959
30541,5605954.96423
30542,2377464.86831
30543,5936186.14333
30544,5171688.35495
30545,7991158.42013
30546,3822676.49693
30547,10804196.2199
30548,4576821.78419
30549,5534053.7851
30550,10396324.6389
30551,5542889.29204
30552,2126586.22716
30553,6391261.71598
30554,11465071.7343
30555,6424616.02753
30556,9398767.87673
30557,7378915.89052
30558,9479212.33749
30559,5828478.44357
30560,6208531.00694
30561,7729735.58205
30562,13666879.9914
30563,4277684.66407
30564,5997395.76788
30565,7394017.19963
30566,7025969.89835
30567,2381207.19249
30568,10782832.7721
30569,9250309.05641
30570,6642835.26015
30571,8526607.88507
30572,5407807.79466
30573,6401830.70828
30574,6293695.35691
30575,7674157.68452
30576,4536048.25263
30577,3367372.15062
30578,2971607.84862
30579,6941980.53191
30580,4000293.36742
